,municipality,county,state,road_name,extended_name,opening_hours,contact_mobile,winter_room,capacity,website,email,boundingbox,display_name,type_description,geometry
10,San Lorenzo Dorsino,Provincia di Trento,Trentino-Alto Adige/Südtirol,Via ferrata sentiero Brentari,Rifugio XII Apostoli,Jun 20-Sep 20,+39 339 8405054,yes,38,http://www.dodiciapostoli.it/,rifugio@dodiciapostoli.it,"['46.1505543', '46.1507508', '10.847278', '10.8475506']","Rifugio XII Apostoli, Via ferrata sentiero Brentari, San Lorenzo Dorsino, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (10.847428143016689 46.1506402)
11,Salten-Schlern - Salto-Sciliar,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,6,Utia de Puez,,,,,http://www.rifugiopuez.it,,"['46.5900335', '46.5901913', '11.8290943', '11.8293791']","Utia de Puez, 6, Sëlva - Wolkenstein - Selva di Val Gardena, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (11.82924002931292 46.590115999999995)
12,Comunità Valsugana e Tesino,Provincia di Trento,Trentino-Alto Adige/Südtirol,Lago Cima d'Asta,Rifugio Cima d'Asta Ottone Brentari,,+39 347 8402125,yes,56,https://www.rifugio-cimadasta.it,emanueletessaro@email.it,"['46.1702527', '46.1703603', '11.6042585', '11.6045304']","Rifugio Cima d'Asta Ottone Brentari, Lago Cima d'Asta, Pieve Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38050, Italia",alpine_hut,POINT (11.60439556026424 46.17030965)
13,Comunità delle Giudicarie,Provincia di Trento,Trentino-Alto Adige/Südtirol,Ponte Tibetano,Rifugio Carè Alto,Jun 20-Sep 20,+39 340 2943731,yes,85,http://www.carealto.it/,rifugio@carealto.it,"['46.1075508', '46.1077285', '10.6260421', '10.6262145']","Rifugio Carè Alto, Ponte Tibetano, Pelugo, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (10.626128299999998 46.107639649999996)
14,Vinschgau - Val Venosta,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,BimBamTrail (Nr. 16),,,,,,,,"['46.543197', '46.5432759', '10.48971', '10.489827']","Hütte - Rifugio, BimBamTrail (Nr. 16), Untere Tartscher Alm, Trafoi, Stilfs - Stelvio, Vinschgau - Val Venosta, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39029, Italia",yes,POINT (10.489768523237258 46.5432365)
15,Comunità delle Giudicarie,Provincia di Trento,Trentino-Alto Adige/Südtirol,Sentiero dei Fiori,Rifugio Mandrone,Jun 20-Sep 20,,yes,100,,davide.gallazzini@virgilio.it,"['46.2024838', '46.2026468', '10.5710493', '10.5713023']","Rifugio Mandrone, Sentiero dei Fiori, Spiazzo, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (10.571175799999994 46.2025653)
16,Eisacktal - Valle Isarco,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Dolomiten-Panoramaweg - Via Panoramica Dolomiti,Plosehütte - Rifugio Plose,,,,,https://www.plosehuette.com/,info@plosehuette.com,"['46.6949427', '46.6950427', '11.7321157', '11.7322157']","Plosehütte - Rifugio Plose, Dolomiten-Panoramaweg - Via Panoramica Dolomiti, Afers - Eores, Palmschoß - Plancios, Brixen - Bressanone, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39042, Italia",restaurant,POINT (11.7321657 46.6949927)
17,Rabbi,Provincia di Trento,Trentino-Alto Adige/Südtirol,130,Rifugio Silvio Dorigoni,Jun 20-Sep 20,,yes,80,http://www.rifugiodorigoni.it/,info@rifugiodorigoni.it,"['46.460509', '46.4607425', '10.7518077', '10.7520615']","Rifugio Silvio Dorigoni, 130, Rabbi, Comunità della Valle di Sole, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (10.751911693917952 46.46063565)
18,Wipptal - Alta Vall'Isarco,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,6,Magdeburger Hütte - Rif. Cremona alla Stua,,,,,http://www.magdeburger.13h.de,magdeburger@13h.de,"['46.9734585', '46.9736623', '11.2840228', '11.2842862']","Magdeburger Hütte - Rif. Cremona alla Stua, 6, Pflersch, Brenner - Brennero, Wipptal - Alta Vall'Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39041, Italia",restaurant,POINT (11.284163579292928 46.97356935)
19,San Lorenzo Dorsino,Provincia di Trento,Trentino-Alto Adige/Südtirol,Via ferrata sentiero Brentari,Rifugio Val d'Ambiez - Silvio Agostini,Jun 20-Sep 20,+39 348 7152589,yes,57,https://www.rifugioagostini.com/,info@rifugioagostini.com,"['46.1423454', '46.1425238', '10.869328', '10.8696277']","Rifugio Val d'Ambiez - Silvio Agostini, Via ferrata sentiero Brentari, San Lorenzo Dorsino, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (10.869477851991387 46.1424346)
20,Comunità Montana della Valle Brembana,Bergamo,Lombardia,Via Antonio Locatelli,Rifugio Giretta,,,,,,,"['46.0391873', '46.0394037', '9.7860478', '9.7863596']","Rifugio Giretta, Via Antonio Locatelli, Carona, Comunità Montana della Valle Brembana, Bergamo, Lombardia, Italia",restaurant,POINT (9.786193677922288 46.039252000000005)
21,Comunità delle Giudicarie,Provincia di Trento,Trentino-Alto Adige/Südtirol,Strada Geridol,Rifugio Segantini,Jun 11-Sep 27,,yes,48,www.rifugiosegantini.com,info@rifugiosegantini.com,"['46.2091602', '46.2093151', '10.7106913', '10.7109069']","Rifugio Segantini, Strada Geridol, Carisolo, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38086, Italia",shelter,POINT (10.710799075799468 46.20923765)
22,Wipptal - Alta Vall'Isarco,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Pflerscher Höhenweg - Alta Via di Fleres,Tribulaunhütte - Rifugio Cesare Calciati al Tribulaun,,,,,,,"['46.9855755', '46.9857756', '11.325438', '11.3257003']","Tribulaunhütte - Rifugio Cesare Calciati al Tribulaun, Pflerscher Höhenweg - Alta Via di Fleres, Pflersch, Innerpflersch - Fleres di Dentro, Brenner - Brennero, Wipptal - Alta Vall'Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39041, Italia",restaurant,POINT (11.325569149999996 46.985675549999996)
23,Primiero San Martino di Castrozza,Provincia di Trento,Trentino-Alto Adige/Südtirol,Ferrata del Velo,Rifugio Pradidali,,,,,,,"['46.2442027', '46.2443802', '11.8542018', '11.8544059']","Rifugio Pradidali, Ferrata del Velo, Siror, Primiero San Martino di Castrozza, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38054, Italia",alpine_hut,POINT (11.854303853201616 46.24431065)
24,Comunità della Valle di Sole,Provincia di Trento,Trentino-Alto Adige/Südtirol,Sentiero Migotti O220,Rifugio Stavèl Francesco Denza,Jun 20-Sep 20,+39 339 6233902,yes,56,https://www.rifugiodenza.com/,rifugiodenza@email.it,"['46.2433134', '46.243511', '10.6551171', '10.6553994']","Rifugio Stavèl Francesco Denza, Sentiero Migotti O220, Vermiglio, Comunità della Valle di Sole, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (10.655258249999996 46.243412199999995)
25,San Giovanni di Fassa,Provincia di Trento,Trentino-Alto Adige/Südtirol,Aufstieg zum Masarè-Klettersteig,Rifugio Roda di Vael,Jun 28-Oct 16,+39 335 6750325,yes,60,https://www.rodadivael.it/,info@rodadivael.it,"['46.4200867', '46.4202464', '11.6300307', '11.6302193']","Rifugio Roda di Vael, Aufstieg zum Masarè-Klettersteig, San Giovanni di Fassa, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38039, Italia",alpine_hut,POINT (11.630136485507245 46.4201953)
26,Primiero San Martino di Castrozza,Provincia di Trento,Trentino-Alto Adige/Südtirol,Ferrata del Velo,Rifugio Pradidali,,,,,,,"['46.2442027', '46.2443802', '11.8542018', '11.8544059']","Rifugio Pradidali, Ferrata del Velo, Siror, Primiero San Martino di Castrozza, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38054, Italia",alpine_hut,POINT (11.854303853201616 46.24431065)
27,Tre Ville,Provincia di Trento,Trentino-Alto Adige/Südtirol,Via ferrata,Rifugio Francis Fox Tuckett,Jun 20-Sep 20,+39 335 5253090,yes,110,http://www.rifugio-tuckett.it/,,"['46.1919138', '46.1920701', '10.8819693', '10.8822305']","Rifugio Francis Fox Tuckett, Via ferrata, Tre Ville, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (10.882101205964467 46.191998749999996)
28,Tre Ville,Provincia di Trento,Trentino-Alto Adige/Südtirol,Normale Corna Rossa,Rifugio Graffer al Grostè,,,,,http://www.graffer.com/,rifugio@graffer.com,"['46.2196048', '46.2197048', '10.8893626', '10.8894626']","Rifugio Graffer al Grostè, Normale Corna Rossa, Tre Ville, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38084, Italia",alpine_hut,POINT (10.8894126 46.2196548)
29,Eisacktal - Valle Isarco,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Hornweg - Via Corno,Rittner Horn Haus - Rifugio Corno del Renon,,,,,,,"['46.6146063', '46.6147793', '11.4612428', '11.461549']","Rittner Horn Haus - Rifugio Corno del Renon, 3, Hornweg - Via Corno, Barbian - Barbiano, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia",alpine_hut,POINT (11.461411532305847 46.61470945000001)
30,San Giovanni di Fassa,Provincia di Trento,Trentino-Alto Adige/Südtirol,546,Rifugio Vajolet,Jun 20-Sep 20,+39 335 7073258,yes,130,https://www.rifugiovajolet.com/,info@rifugiovajolet.com,"['46.4584425', '46.4586675', '11.632598', '11.6328585']","Rifugio Vajolet, 546, San Giovanni di Fassa, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38039, Italia",alpine_hut,POINT (11.632755151165737 46.4586001)
31,Pustertal - Val Pusteria,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Sentiero Concordia Rundweg,Rifugio CAI Plan de Corones - Kronplatzhütte CAI,,,,,,,"['46.7405252', '46.7407735', '11.9571324', '11.9574166']","Rifugio CAI Plan de Corones - Kronplatzhütte CAI, Sentiero Concordia Rundweg, Reischach - Riscone, Bruneck - Brunico, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39031, Italia",restaurant,POINT (11.957261157115942 46.7406199)
32,Comunità della Vallagarina,Provincia di Trento,Trentino-Alto Adige/Südtirol,E108,Rifugio Mario Fraccaroli,,,,,,,"['45.7235313', '45.7237095', '11.1288851', '11.1291223']","Rifugio Mario Fraccaroli, E108, Ala, Comunità della Vallagarina, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (11.129001231449472 45.7236266)
33,Salten-Schlern - Salto-Sciliar,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Ortschaft Sellajoch - Localitá Passo Sella,,,,,,,,"['46.5092044', '46.5093044', '11.7574289', '11.7575289']","Utia de Sela - Sellajochhaus - Rifugio Passo Sella, Ortschaft Sellajoch - Localitá Passo Sella, Sëlva - Wolkenstein - Selva di Val Gardena, Salten-Schlern - Salto-Sciliar, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39048, Italia",bus_stop,POINT (11.7574789 46.5092544)
34,Tre Ville,Provincia di Trento,Trentino-Alto Adige/Südtirol,318,Rifugio Maria e Alberto al Brentei,,,,,https://www.rifugiobrentei.it,,"['46.1751023', '46.1753102', '10.8758761', '10.8761694']","Rifugio Maria e Alberto al Brentei, 318, Tre Ville, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (10.87602439228641 46.1752131)
35,Comunità della Vallagarina,Provincia di Trento,Trentino-Alto Adige/Südtirol,Alta Via del Monte Baldo,"Rifugio Altissimo ""Damiano Chiesa""",Jun 20-Sep 20,,yes,,,,"['45.8102939', '45.8104668', '10.8902753', '10.8904814']","Rifugio Altissimo ""Damiano Chiesa"", Alta Via del Monte Baldo, Brentonico, Comunità della Vallagarina, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (10.8903796917266 45.8103754)
36,San Giovanni di Fassa,Provincia di Trento,Trentino-Alto Adige/Südtirol,Sentiero forestale Sora la Crepa,Rifugio Taramelli,Jun 20-Sep 20,+39 340 2781536,no,16,https://www.rifugiotaramelli.it/,info@rifugiotaramelli.it,"['46.3945587', '46.3946825', '11.7402279', '11.7403951']","Rifugio Taramelli, Sentiero forestale Sora la Crepa, San Giovanni di Fassa, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (11.740311500000004 46.394620599999996)
37,Comunità Alto Garda e Ledro,Provincia di Trento,Trentino-Alto Adige/Südtirol,"Sentiero dei ""geroni""",Rifugio Stivo Prospero Marchetti,,,yes,20,http://rifugiostivo.it/,info@rifugiostivo.it,"['45.92105', '45.9212305', '10.9618256', '10.9620054']","Rifugio Stivo Prospero Marchetti, Sentiero dei ""geroni"", Roccolo, Arco, Comunità Alto Garda e Ledro, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38704, Italia",alpine_hut,POINT (10.961918259847232 45.9211473)
38,San Giovanni di Fassa,Provincia di Trento,Trentino-Alto Adige/Südtirol,Vial de la Feide,Rifugio Ciampedie,Jun 4-Oct 10,+39 339 4376354,no,27,http://www.rifugiociampedie.com/,info@rifugiociampedie.com,"['46.4337934', '46.4338934', '11.6642211', '11.6643211']","Rifugio Ciampedie, Vial de la Feide, Vigo di Fassa, San Giovanni di Fassa, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38039, Italia",alpine_hut,POINT (11.6642711 46.4338434)
39,Comunità della Val di Non,Provincia di Trento,Trentino-Alto Adige/Südtirol,Via ferrata,Rifugio Peller,Jun 20-Sep 20 06:00-22:00,+39 336 216005,yes,40,http://www.satcles.it/rifpeller/,rifpeller@satcles.it,"['46.3220884', '46.3223072', '10.9525068', '10.9528805']","Rifugio Peller, Via ferrata, Cles, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38027, Italia",alpine_hut,POINT (10.952679673281143 46.322250600000004)
40,Comunità Alta Valsugana e Bersntol,Provincia di Trento,Trentino-Alto Adige/Südtirol,Sentiero alpinistico Fratelli Giuliani,Rifugio Sette Selle,Jun 20-Sep 30; Dec 20-Jan6; Fr-Su; Nov off,+39 347 1594929,yes,24,http://www.setteselle.altervista.org/,rifugiosetteselle@gmail.com,"['46.132269', '46.1323917', '11.3922749', '11.3924492']","Rifugio Sette Selle, Sentiero alpinistico Fratelli Giuliani, Palù del Fersina - Palai en Bersntol, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (11.392362050000004 46.132330350000004)
41,Eisacktal - Valle Isarco,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Klausner Hütte - Rifugio Chiusa,,,,,,,,"['46.6832461', '46.6839204', '11.5513393', '11.5518887']","Klausner Hütte - Rifugio Chiusa, Kühhof, Klausen - Chiusa, Eisacktal - Valle Isarco, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39043, Italia",track,POINT (11.5515913 46.6835402)
42,Sella Giudicarie,Provincia di Trento,Trentino-Alto Adige/Südtirol,Cresta Nord,Rifugio Val Di Fumo,May-Oct,+39 327 4419578,yes,50,,,"['46.0843455', '46.0845831', '10.5623937', '10.5626701']","Rifugio Val Di Fumo, Cresta Nord, Sella Giudicarie, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (10.562531902836234 46.0844903)
43,Burggrafenamt - Burgraviato,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Kirchsteigeralm - Malga Kirchsteiger,Rotwandhütte - Rifugio Parete Rossa,,,,,,,"['46.6743794', '46.6745345', '11.25707', '11.2573276']","Rotwandhütte - Rifugio Parete Rossa, Kirchsteigeralm - Malga Kirchsteiger, Falzeben, Hafling - Avelengo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39010, Italia",restaurant,POINT (11.25718164995223 46.67444945)
44,Burggrafenamt - Burgraviato,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Ifinger Hütte - Rifugio Picco Ivigna,,,,,,,,"['46.6842167', '46.7042167', '11.2290403', '11.2490403']","Ifinger Hütte - Rifugio Picco Ivigna, Schenna - Scena, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39017, Italia",locality,POINT (11.2390403 46.6942167)
45,Trambileno,Provincia di Trento,Trentino-Alto Adige/Südtirol,Strada del Pasubio,Rifugio Alpe Pozza - Vincenzo Lancia,,+39 347 1600846,yes,64,https://rifugiolancia.it/,info@rifugiolancia.it,"['45.8272139', '45.8273671', '11.1445826', '11.1448561']","Rifugio Alpe Pozza - Vincenzo Lancia, Strada del Pasubio, Trambileno, Comunità della Vallagarina, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",restaurant,POINT (11.144719346852792 45.8273097)
46,Überetsch-Unterland - Oltradige-Bassa Atesina,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Göllersteig,Überetscher Hütte - Rifugio Oltradige,May - Nov,,,30,http://www.rifugioroen.it/,info@rifugioroen.it,"['46.3640435', '46.3641982', '11.1969816', '11.1972349']","Überetscher Hütte - Rifugio Oltradige, Göllersteig, Tramin an der Weinstraße - Termeno sulla Strada del Vino, Überetsch-Unterland - Oltradige-Bassa Atesina, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39040, Italia",alpine_hut,POINT (11.197108254318472 46.3641209)
47,Primiero San Martino di Castrozza,Provincia di Trento,Trentino-Alto Adige/Südtirol,forcella_oltro,Rifugio Treviso,,,,,http://www.rifugiotreviso.it/,,"['46.2367494', '46.2368949', '11.9027826', '11.9030305']","Rifugio Treviso, forcella_oltro, Tonadico, Primiero San Martino di Castrozza, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38054, Italia",alpine_hut,POINT (11.902900011355992 46.23680345)
48,Comunità della Vallagarina,Provincia di Trento,Trentino-Alto Adige/Südtirol,Strada forestale Finonchio,Rifugio Finonchio Fratelli Filzi,Jun 20-Sep 20,+39 348 0439224,,13,,,"['45.9003817', '45.900515', '11.114678', '11.1149222']","Rifugio Finonchio Fratelli Filzi, Strada forestale Finonchio, Rovereto, Comunità della Vallagarina, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (11.114800100913133 45.900448350000005)
49,Comunità Alto Garda e Ledro,Provincia di Trento,Trentino-Alto Adige/Südtirol,Sentiero della Regina SAT 445,"Rifugio Bocca di Trat ""Nino Pernici""",,+39 349 3301981,yes,30,https://www.pernici.com/,rifugiopernici@hotmail.it,"['45.9265065', '45.9267159', '10.7685909', '10.7687738']","Rifugio Bocca di Trat ""Nino Pernici"", Sentiero della Regina SAT 445, Tenno, Comunità Alto Garda e Ledro, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (10.76867145614402 45.926631799999996)
50,Altopiano della Vigolana,Provincia di Trento,Trentino-Alto Adige/Südtirol,Strada forestale Coste,Rifugio Casarota,Jun 12-Sep 20,+39 348 0985560,yes,38,,paolo.moschen@virgilio.it,"['45.9543693', '45.9544719', '11.1953829', '11.1956092']","Rifugio Casarota, Strada forestale Coste, Maso Menegoi, Altopiano della Vigolana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38049, Italia",alpine_hut,POINT (11.195494271688741 45.9544211)
51,Sant'Anna d'Alfaedo,Verona,Veneto,Via Baita dei Fiori,,,,,,,,"['45.6325578', '45.6404999', '10.929818', '10.9417245']","Via Baita dei Fiori, Contrada Michelazzi, Sant'Anna d'Alfaedo, Verona, Veneto, 37020, Italia",unclassified,POINT (10.9357271 45.6373891)
52,Altopiano della Vigolana,Provincia di Trento,Trentino-Alto Adige/Südtirol,Strada dei Catalani,Rifugio Paludei,Jun 20-Sep 20,+39 347 7406438,no,16,,rifugiosatpaludei1@virgilio.it,"['45.9711017', '45.9712808', '11.2242785', '11.2244946']","Rifugio Paludei, Strada dei Catalani, Frisanchi, Pian dei Pradi, Altopiano della Vigolana, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38049, Italia",alpine_hut,POINT (11.224384780513304 45.97117255)
53,Comunità Alto Garda e Ledro,Provincia di Trento,Trentino-Alto Adige/Südtirol,Strada per Treni-Bondiga,Rifugio San Pietro,,,no,18,http://www.rifugiosanpetro.eu/,info@rifugiosanpietro.eu,"['45.9326603', '45.932829', '10.8385394', '10.8387688']","Rifugio San Pietro, Strada per Treni-Bondiga, Calvola, Canale, Tenno, Comunità Alto Garda e Ledro, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38060, Italia",restaurant,POINT (10.83864751922141 45.93273385)
54,Territorio Val d'Adige,Provincia di Trento,Trentino-Alto Adige/Südtirol,Strada dei Bindesi,Rifugio Bindesi - Pino Prati,Tu 17:00-23:00; We-Su 10:30-23:00,,no,,,weber.fede@gmail.com,"['46.0360783', '46.0362426', '11.1538322', '11.1540148']","Rifugio Bindesi - Pino Prati, Strada dei Bindesi, Villazzano, San Rocco, Trento, Territorio Val d'Adige, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38128, Italia",alpine_hut,POINT (11.153923501734845 46.036163349999995)
55,Val di Zoldo,Belluno,Veneto,Via Normale / Via Ferrata a Rif. Torrani,Rifugio Maria Vittoria Torrani,,,,,,,"['46.3785526', '46.3786526', '12.0566285', '12.0567285']","Rifugio Maria Vittoria Torrani, Via Normale / Via Ferrata a Rif. Torrani, Val di Zoldo, Belluno, Veneto, Italia",alpine_hut,POINT (12.0566785 46.3786026)
